"","id","group"
"147",147,"Reason Ad"
"148",148,"Emotion Ad"
"149",149,"Reason Ad"
"150",150,"Emotion Ad"
"151",151,"Control"
"152",152,"Control"
"153",153,"Reason Ad"
"154",154,"Emotion Ad"
"155",155,"Control"
"156",156,"Reason Ad"
"157",157,"Control"
"158",158,"Emotion Ad"
"159",159,"Reason Ad"
"160",160,"Emotion Ad"
"161",161,"Control"
"162",162,"Emotion Ad"
"163",163,"Reason Ad"
"164",164,"Reason Ad"
"165",165,"Reason Ad"
"166",166,"Reason Ad"
"167",167,"Emotion Ad"
"168",168,"Control"
"169",169,"Control"
"170",170,"Control"
"171",171,"Reason Ad"
"172",172,"Reason Ad"
"173",173,"Control"
"174",174,"Emotion Ad"
"175",175,"Emotion Ad"
"176",176,"Control"
"177",177,"Emotion Ad"
"178",178,"Emotion Ad"
"179",179,"Reason Ad"
"180",180,"Reason Ad"
"181",181,"Reason Ad"
"182",182,"Reason Ad"
"183",183,"Emotion Ad"
"184",184,"Control"
"185",185,"Emotion Ad"
"186",186,"Emotion Ad"
"187",187,"Emotion Ad"
"188",188,"Emotion Ad"
"189",189,"Emotion Ad"
"190",190,"Reason Ad"
"191",191,"Emotion Ad"
"192",192,"Control"
"193",193,"Reason Ad"
"194",194,"Reason Ad"
"195",195,"Reason Ad"
"196",196,"Control"
"197",197,"Control"
"198",198,"Control"
"199",199,"Emotion Ad"
"200",200,"Emotion Ad"
"201",201,"Reason Ad"
"202",202,"Emotion Ad"
"203",203,"Emotion Ad"
"204",204,"Reason Ad"
"205",205,"Emotion Ad"
"206",206,"Emotion Ad"
"207",207,"Reason Ad"
"208",208,"Control"
"209",209,"Emotion Ad"
"210",210,"Emotion Ad"
"211",211,"Emotion Ad"
"212",212,"Emotion Ad"
"213",213,"Reason Ad"
"214",214,"Reason Ad"
"215",215,"Reason Ad"
"216",216,"Reason Ad"
"217",217,"Control"
"218",218,"Control"
"219",219,"Reason Ad"
"220",220,"Control"
"221",221,"Reason Ad"
"222",222,"Emotion Ad"
"223",223,"Reason Ad"
"224",224,"Control"
"225",225,"Control"
"226",226,"Control"
"227",227,"Reason Ad"
"228",228,"Reason Ad"
"229",229,"Reason Ad"
"230",230,"Reason Ad"
"231",231,"Reason Ad"
"232",232,"Control"
"233",233,"Reason Ad"
"234",234,"Control"
"235",235,"Emotion Ad"
"236",236,"Reason Ad"
"237",237,"Emotion Ad"
"238",238,"Emotion Ad"
"239",239,"Reason Ad"
"240",240,"Control"
"241",241,"Emotion Ad"
"242",242,"Emotion Ad"
"243",243,"Control"
"244",244,"Reason Ad"
"245",245,"Control"
"246",246,"Reason Ad"
"247",247,"Control"
"248",248,"Reason Ad"
"249",249,"Control"
"250",250,"Control"
"251",251,"Reason Ad"
"252",252,"Control"
"253",253,"Emotion Ad"
"254",254,"Reason Ad"
"255",255,"Emotion Ad"
"256",256,"Reason Ad"
"257",257,"Emotion Ad"
"258",258,"Emotion Ad"
"259",259,"Reason Ad"
"260",260,"Reason Ad"
"261",261,"Reason Ad"
"262",262,"Emotion Ad"
"263",263,"Control"
"264",264,"Control"
"265",265,"Emotion Ad"
"266",266,"Emotion Ad"
"267",267,"Emotion Ad"
"268",268,"Reason Ad"
"269",269,"Reason Ad"
"270",270,"Emotion Ad"
"271",271,"Control"
"272",272,"Reason Ad"
"273",273,"Emotion Ad"
"274",274,"Control"
"275",275,"Reason Ad"
"276",276,"Reason Ad"
"277",277,"Emotion Ad"
"278",278,"Reason Ad"
"279",279,"Reason Ad"
"280",280,"Control"
"281",281,"Emotion Ad"
"282",282,"Reason Ad"
"283",283,"Reason Ad"
"284",284,"Control"
"285",285,"Reason Ad"
"286",286,"Control"
"287",287,"Reason Ad"
"288",288,"Emotion Ad"
"289",289,"Control"
"290",290,"Emotion Ad"
"291",291,"Reason Ad"
"292",292,"Control"
"293",293,"Emotion Ad"
"294",294,"Reason Ad"
"295",295,"Control"
"296",296,"Control"
"297",297,"Emotion Ad"
"298",298,"Control"
"299",299,"Control"
"300",300,"Control"
"301",301,"Reason Ad"
"302",302,"Emotion Ad"
"303",303,"Reason Ad"
"304",304,"Emotion Ad"
"305",305,"Control"
"306",306,"Emotion Ad"
"307",307,"Reason Ad"
"308",308,"Control"
"309",309,"Reason Ad"
"310",310,"Control"
"311",311,"Reason Ad"
"312",312,"Reason Ad"
"313",313,"Reason Ad"
"314",314,"Reason Ad"
"315",315,"Reason Ad"
"316",316,"Reason Ad"
"317",317,"Emotion Ad"
"318",318,"Emotion Ad"
"319",319,"Reason Ad"
"320",320,"Emotion Ad"
"321",321,"Control"
"322",322,"Reason Ad"
"323",323,"Control"
"324",324,"Reason Ad"
"325",325,"Control"
"326",326,"Reason Ad"
"327",327,"Emotion Ad"
"328",328,"Reason Ad"
"329",329,"Emotion Ad"
"330",330,"Emotion Ad"
"331",331,"Emotion Ad"
"332",332,"Control"
"333",333,"Emotion Ad"
"334",334,"Control"
"335",335,"Reason Ad"
"336",336,"Emotion Ad"
"337",337,"Emotion Ad"
"338",338,"Reason Ad"
"339",339,"Reason Ad"
"340",340,"Reason Ad"
"341",341,"Control"
"342",342,"Reason Ad"
"343",343,"Reason Ad"
"344",344,"Control"
"345",345,"Control"
"346",346,"Reason Ad"
"347",347,"Control"
"348",348,"Emotion Ad"
"349",349,"Control"
"350",350,"Control"
"351",351,"Control"
"352",352,"Reason Ad"
"353",353,"Emotion Ad"
"354",354,"Emotion Ad"
"355",355,"Emotion Ad"
"356",356,"Control"
"357",357,"Emotion Ad"
"358",358,"Emotion Ad"
"359",359,"Reason Ad"
"360",360,"Control"
"361",361,"Reason Ad"
"362",362,"Control"
"363",363,"Control"
"364",364,"Reason Ad"
"365",365,"Emotion Ad"
"366",366,"Control"
"367",367,"Reason Ad"
"368",368,"Control"
"369",369,"Reason Ad"
"370",370,"Reason Ad"
"371",371,"Reason Ad"
"372",372,"Control"
"373",373,"Emotion Ad"
"374",374,"Control"
"375",375,"Emotion Ad"
"376",376,"Reason Ad"
"377",377,"Emotion Ad"
"378",378,"Reason Ad"
"379",379,"Control"
"380",380,"Emotion Ad"
"381",381,"Reason Ad"
"382",382,"Emotion Ad"
"383",383,"Reason Ad"
"384",384,"Reason Ad"
"385",385,"Emotion Ad"
"386",386,"Reason Ad"
"387",387,"Control"
"388",388,"Reason Ad"
"389",389,"Emotion Ad"
"390",390,"Control"
"391",391,"Emotion Ad"
"392",392,"Emotion Ad"
"393",393,"Control"
"394",394,"Reason Ad"
"395",395,"Emotion Ad"
"396",396,"Control"
"397",397,"Emotion Ad"
"398",398,"Emotion Ad"
"399",399,"Emotion Ad"
"400",400,"Control"
"401",401,"Control"
"402",402,"Reason Ad"
"403",403,"Emotion Ad"
"404",404,"Emotion Ad"
"405",405,"Control"
"406",406,"Control"
"407",407,"Emotion Ad"
"408",408,"Control"
"409",409,"Reason Ad"
"410",410,"Reason Ad"
"411",411,"Emotion Ad"
"412",412,"Control"
"413",413,"Control"
"414",414,"Control"
"415",415,"Reason Ad"
"416",416,"Reason Ad"
"417",417,"Emotion Ad"
"418",418,"Control"
"419",419,"Reason Ad"
"420",420,"Emotion Ad"
"421",421,"Emotion Ad"
"422",422,"Reason Ad"
"423",423,"Emotion Ad"
"424",424,"Emotion Ad"
"425",425,"Reason Ad"
"426",426,"Reason Ad"
"427",427,"Emotion Ad"
"428",428,"Reason Ad"
"429",429,"Control"
"430",430,"Emotion Ad"
"431",431,"Emotion Ad"
"432",432,"Control"
"433",433,"Control"
"434",434,"Reason Ad"
"435",435,"Emotion Ad"
"436",436,"Reason Ad"
"437",437,"Emotion Ad"
"438",438,"Emotion Ad"
"439",439,"Emotion Ad"
"440",440,"Control"
"441",441,"Reason Ad"
"442",442,"Reason Ad"
"443",443,"Control"
"444",444,"Emotion Ad"
"445",445,"Reason Ad"
"446",446,"Reason Ad"
"447",447,"Reason Ad"
"448",448,"Emotion Ad"
"449",449,"Emotion Ad"
"450",450,"Emotion Ad"
"451",451,"Reason Ad"
"452",452,"Reason Ad"
"453",453,"Control"
"454",454,"Emotion Ad"
"455",455,"Emotion Ad"
"456",456,"Reason Ad"
"457",457,"Reason Ad"
"458",458,"Emotion Ad"
"459",459,"Reason Ad"
"460",460,"Emotion Ad"
"461",461,"Emotion Ad"
"462",462,"Control"
"463",463,"Emotion Ad"
"464",464,"Control"
"465",465,"Emotion Ad"
"466",466,"Control"
"467",467,"Control"
"468",468,"Control"
"469",469,"Control"
"470",470,"Reason Ad"
"471",471,"Emotion Ad"
"472",472,"Reason Ad"
"473",473,"Emotion Ad"
"474",474,"Emotion Ad"
"475",475,"Emotion Ad"
"476",476,"Reason Ad"
"477",477,"Reason Ad"
"478",478,"Reason Ad"
"479",479,"Control"
"480",480,"Emotion Ad"
"481",481,"Emotion Ad"
"482",482,"Emotion Ad"
"483",483,"Control"
"484",484,"Control"
"485",485,"Control"
"486",486,"Control"
"487",487,"Control"
"488",488,"Reason Ad"
"489",489,"Emotion Ad"
"490",490,"Control"
"491",491,"Control"
"492",492,"Control"
"493",493,"Reason Ad"
"494",494,"Emotion Ad"
"495",495,"Emotion Ad"
"496",496,"Control"
"497",497,"Control"
"498",498,"Control"
"499",499,"Emotion Ad"
"500",500,"Control"
"501",501,"Control"
"502",502,"Emotion Ad"
"503",503,"Control"
"504",504,"Control"
"505",505,"Control"
"506",506,"Control"
"507",507,"Emotion Ad"
"508",508,"Control"
"509",509,"Reason Ad"
"510",510,"Emotion Ad"
"511",511,"Control"
"512",512,"Control"
"513",513,"Reason Ad"
"514",514,"Control"
"515",515,"Reason Ad"
"516",516,"Reason Ad"
"517",517,"Emotion Ad"
"518",518,"Reason Ad"
"519",519,"Reason Ad"
"520",520,"Control"
"521",521,"Emotion Ad"
"522",522,"Control"
"523",523,"Emotion Ad"
"524",524,"Control"
"525",525,"Emotion Ad"
"526",526,"Reason Ad"
"527",527,"Control"
"528",528,"Control"
"529",529,"Control"
"530",530,"Control"
"531",531,"Reason Ad"
"532",532,"Control"
"533",533,"Reason Ad"
"534",534,"Reason Ad"
"535",535,"Control"
"536",536,"Emotion Ad"
"537",537,"Emotion Ad"
"538",538,"Reason Ad"
"539",539,"Control"
"540",540,"Reason Ad"
"541",541,"Emotion Ad"
"542",542,"Reason Ad"
"543",543,"Control"
"544",544,"Emotion Ad"
"545",545,"Reason Ad"
"546",546,"Reason Ad"
"547",547,"Reason Ad"
"548",548,"Control"
"549",549,"Emotion Ad"
"550",550,"Control"
"551",551,"Control"
"552",552,"Control"
"553",553,"Emotion Ad"
"554",554,"Reason Ad"
"555",555,"Reason Ad"
"556",556,"Emotion Ad"
"557",557,"Emotion Ad"
"558",558,"Emotion Ad"
"559",559,"Control"
"560",560,"Reason Ad"
"561",561,"Emotion Ad"
"562",562,"Control"
"563",563,"Emotion Ad"
"564",564,"Control"
"565",565,"Reason Ad"
"566",566,"Control"
"567",567,"Emotion Ad"
"568",568,"Emotion Ad"
"569",569,"Emotion Ad"
"570",570,"Control"
"571",571,"Emotion Ad"
"572",572,"Reason Ad"
"573",573,"Control"
"574",574,"Reason Ad"
"575",575,"Reason Ad"
"576",576,"Emotion Ad"
"577",577,"Reason Ad"
"578",578,"Reason Ad"
"579",579,"Reason Ad"
"580",580,"Emotion Ad"
"581",581,"Control"
"582",582,"Control"
"583",583,"Reason Ad"
"584",584,"Emotion Ad"
"585",585,"Reason Ad"
"586",586,"Reason Ad"
"587",587,"Emotion Ad"
"588",588,"Emotion Ad"
"589",589,"Emotion Ad"
"590",590,"Control"
"591",591,"Emotion Ad"
"592",592,"Emotion Ad"
"593",593,"Control"
"594",594,"Reason Ad"
"595",595,"Control"
"596",596,"Emotion Ad"
"597",597,"Emotion Ad"
"598",598,"Reason Ad"
"599",599,"Emotion Ad"
"600",600,"Control"
"601",601,"Emotion Ad"
"602",602,"Emotion Ad"
"603",603,"Emotion Ad"
"604",604,"Emotion Ad"
"605",605,"Control"
"606",606,"Control"
"607",607,"Reason Ad"
"608",608,"Reason Ad"
"609",609,"Reason Ad"
"610",610,"Control"
"611",611,"Reason Ad"
"612",612,"Emotion Ad"
"613",613,"Emotion Ad"
"614",614,"Control"
"615",615,"Control"
"616",616,"Reason Ad"
"617",617,"Reason Ad"
"618",618,"Reason Ad"
"619",619,"Control"
"620",620,"Control"
"621",621,"Emotion Ad"
"622",622,"Emotion Ad"
"623",623,"Emotion Ad"
"624",624,"Reason Ad"
"625",625,"Reason Ad"
"626",626,"Emotion Ad"
"627",627,"Reason Ad"
"628",628,"Control"
"629",629,"Emotion Ad"
"630",630,"Reason Ad"
"631",631,"Control"
"632",632,"Reason Ad"
"633",633,"Emotion Ad"
"634",634,"Emotion Ad"
"635",635,"Reason Ad"
"636",636,"Reason Ad"
"637",637,"Reason Ad"
"638",638,"Reason Ad"
"639",639,"Emotion Ad"
"640",640,"Reason Ad"
"641",641,"Reason Ad"
"642",642,"Emotion Ad"
"643",643,"Reason Ad"
"644",644,"Control"
"645",645,"Control"
"646",646,"Reason Ad"
"647",647,"Reason Ad"
"648",648,"Control"
"649",649,"Control"
"650",650,"Emotion Ad"
"651",651,"Control"
"652",652,"Emotion Ad"
"653",653,"Emotion Ad"
"654",654,"Reason Ad"
"655",655,"Control"
"656",656,"Emotion Ad"
"657",657,"Control"
"658",658,"Control"
"659",659,"Control"
"660",660,"Reason Ad"
"661",661,"Reason Ad"
"662",662,"Control"
"663",663,"Emotion Ad"
"664",664,"Reason Ad"
"665",665,"Reason Ad"
"666",666,"Reason Ad"
"667",667,"Reason Ad"
"668",668,"Control"
"669",669,"Emotion Ad"
"670",670,"Reason Ad"
"671",671,"Emotion Ad"
"672",672,"Reason Ad"
"673",673,"Emotion Ad"
"674",674,"Control"
"675",675,"Reason Ad"
"676",676,"Reason Ad"
"677",677,"Control"
"678",678,"Emotion Ad"
"679",679,"Emotion Ad"
"680",680,"Emotion Ad"
"681",681,"Control"
"682",682,"Control"
"683",683,"Reason Ad"
"684",684,"Reason Ad"
"685",685,"Emotion Ad"
"686",686,"Reason Ad"
"687",687,"Reason Ad"
"688",688,"Reason Ad"
"689",689,"Emotion Ad"
"690",690,"Control"
"691",691,"Control"
"692",692,"Control"
"693",693,"Emotion Ad"
"694",694,"Emotion Ad"
"695",695,"Reason Ad"
"696",696,"Control"
"697",697,"Emotion Ad"
"698",698,"Control"
"699",699,"Reason Ad"
"700",700,"Emotion Ad"
"701",701,"Control"
"702",702,"Control"
"703",703,"Control"
"704",704,"Emotion Ad"
"705",705,"Control"
"706",706,"Reason Ad"
"707",707,"Control"
"708",708,"Reason Ad"
"709",709,"Emotion Ad"
"710",710,"Reason Ad"
"711",711,"Control"
"712",712,"Reason Ad"
"713",713,"Reason Ad"
"714",714,"Reason Ad"
"715",715,"Emotion Ad"
"716",716,"Reason Ad"
"717",717,"Reason Ad"
"718",718,"Reason Ad"
"719",719,"Reason Ad"
"720",720,"Emotion Ad"
"721",721,"Emotion Ad"
"722",722,"Emotion Ad"
"723",723,"Reason Ad"
"724",724,"Control"
"725",725,"Emotion Ad"
"726",726,"Reason Ad"
"727",727,"Control"
"728",728,"Reason Ad"
"729",729,"Reason Ad"
"730",730,"Reason Ad"
"731",731,"Emotion Ad"
"732",732,"Control"
"733",733,"Emotion Ad"
"734",734,"Emotion Ad"
"735",735,"Emotion Ad"
"736",736,"Control"
"737",737,"Emotion Ad"
"738",738,"Emotion Ad"
"739",739,"Emotion Ad"
"740",740,"Emotion Ad"
"741",741,"Control"
"742",742,"Reason Ad"
"743",743,"Emotion Ad"
"744",744,"Emotion Ad"
"745",745,"Emotion Ad"
"746",746,"Control"
"747",747,"Control"
"748",748,"Control"
"749",749,"Reason Ad"
"750",750,"Emotion Ad"
"751",751,"Reason Ad"
"752",752,"Reason Ad"
"753",753,"Emotion Ad"
"754",754,"Control"
"755",755,"Reason Ad"
"756",756,"Control"
"757",757,"Reason Ad"
"758",758,"Control"
"759",759,"Control"
"760",760,"Reason Ad"
"761",761,"Control"
"762",762,"Control"
"763",763,"Control"
"764",764,"Reason Ad"
"765",765,"Reason Ad"
"766",766,"Control"
"767",767,"Reason Ad"
"768",768,"Control"
"769",769,"Control"
"770",770,"Control"
"771",771,"Control"
"772",772,"Control"
"773",773,"Control"
"774",774,"Control"
"775",775,"Control"
"776",776,"Control"
"777",777,"Emotion Ad"
"778",778,"Reason Ad"
"779",779,"Control"
"780",780,"Control"
"781",781,"Emotion Ad"
"782",782,"Emotion Ad"
"783",783,"Reason Ad"
"784",784,"Emotion Ad"
"785",785,"Reason Ad"
"786",786,"Reason Ad"
"787",787,"Reason Ad"
"788",788,"Emotion Ad"
"789",789,"Control"
"790",790,"Reason Ad"
"791",791,"Emotion Ad"
"792",792,"Control"
"793",793,"Control"
"794",794,"Emotion Ad"
"795",795,"Emotion Ad"
"796",796,"Reason Ad"
"797",797,"Control"
"798",798,"Emotion Ad"
"799",799,"Control"
"800",800,"Reason Ad"
"801",801,"Reason Ad"
"802",802,"Emotion Ad"
"803",803,"Control"
"804",804,"Emotion Ad"
"805",805,"Emotion Ad"
"806",806,"Reason Ad"
"807",807,"Control"
"808",808,"Control"
"809",809,"Control"
"810",810,"Emotion Ad"
"811",811,"Emotion Ad"
"812",812,"Reason Ad"
"813",813,"Reason Ad"
"814",814,"Emotion Ad"
"815",815,"Reason Ad"
"816",816,"Control"
"817",817,"Emotion Ad"
"818",818,"Reason Ad"
"819",819,"Reason Ad"
"820",820,"Reason Ad"
"821",821,"Emotion Ad"
"822",822,"Control"
"823",823,"Emotion Ad"
"824",824,"Reason Ad"
"825",825,"Reason Ad"
"826",826,"Reason Ad"
"827",827,"Control"
"828",828,"Control"
"829",829,"Emotion Ad"
"830",830,"Control"
"831",831,"Emotion Ad"
"832",832,"Emotion Ad"
"833",833,"Control"
"834",834,"Control"
"835",835,"Emotion Ad"
"836",836,"Reason Ad"
"837",837,"Control"
"838",838,"Reason Ad"
"839",839,"Control"
"840",840,"Emotion Ad"
"841",841,"Control"
"842",842,"Reason Ad"
"843",843,"Control"
"844",844,"Emotion Ad"
"845",845,"Emotion Ad"
"846",846,"Reason Ad"
"847",847,"Control"
"848",848,"Reason Ad"
"849",849,"Control"
"850",850,"Control"
"851",851,"Emotion Ad"
"852",852,"Reason Ad"
"853",853,"Control"
"854",854,"Emotion Ad"
"855",855,"Control"
"856",856,"Reason Ad"
"857",857,"Control"
"858",858,"Emotion Ad"
"859",859,"Emotion Ad"
"860",860,"Control"
"861",861,"Reason Ad"
"862",862,"Emotion Ad"
"863",863,"Emotion Ad"
"864",864,"Reason Ad"
"865",865,"Reason Ad"
"866",866,"Emotion Ad"
"867",867,"Reason Ad"
"868",868,"Control"
"869",869,"Emotion Ad"
"870",870,"Control"
"871",871,"Control"
"872",872,"Emotion Ad"
"873",873,"Reason Ad"
"874",874,"Reason Ad"
"875",875,"Reason Ad"
"876",876,"Emotion Ad"
"877",877,"Emotion Ad"
"878",878,"Emotion Ad"
"879",879,"Reason Ad"
"880",880,"Emotion Ad"
"881",881,"Emotion Ad"
"882",882,"Reason Ad"
"883",883,"Emotion Ad"
"884",884,"Emotion Ad"
"885",885,"Emotion Ad"
"886",886,"Reason Ad"
"887",887,"Emotion Ad"
"888",888,"Emotion Ad"
"889",889,"Emotion Ad"
"890",890,"Reason Ad"
"891",891,"Control"
"892",892,"Emotion Ad"
"893",893,"Control"
"894",894,"Emotion Ad"
"895",895,"Reason Ad"
"896",896,"Control"
"897",897,"Emotion Ad"
"898",898,"Emotion Ad"
"899",899,"Control"
"900",900,"Reason Ad"
"901",901,"Control"
"902",902,"Reason Ad"
"903",903,"Reason Ad"
"904",904,"Emotion Ad"
"905",905,"Control"
"906",906,"Reason Ad"
"907",907,"Reason Ad"
"908",908,"Reason Ad"
"909",909,"Reason Ad"
"910",910,"Reason Ad"
"911",911,"Reason Ad"
"912",912,"Reason Ad"
"913",913,"Reason Ad"
"914",914,"Emotion Ad"
"915",915,"Emotion Ad"
"916",916,"Reason Ad"
"917",917,"Emotion Ad"
"918",918,"Emotion Ad"
"919",919,"Control"
"920",920,"Emotion Ad"
"921",921,"Emotion Ad"
"922",922,"Emotion Ad"
"923",923,"Control"
"924",924,"Emotion Ad"
"925",925,"Control"
"926",926,"Reason Ad"
"927",927,"Reason Ad"
"928",928,"Control"
"929",929,"Emotion Ad"
"930",930,"Emotion Ad"
"931",931,"Reason Ad"
"932",932,"Reason Ad"
"933",933,"Control"
"934",934,"Reason Ad"
"935",935,"Reason Ad"
"936",936,"Control"
"937",937,"Reason Ad"
"938",938,"Reason Ad"
"939",939,"Reason Ad"
"940",940,"Control"
"941",941,"Control"
"942",942,"Reason Ad"
"943",943,"Control"
"944",944,"Control"
"945",945,"Emotion Ad"
"946",946,"Control"
"947",947,"Control"
"948",948,"Emotion Ad"
"949",949,"Reason Ad"
"950",950,"Control"
"951",951,"Control"
"952",952,"Control"
"953",953,"Control"
"954",954,"Control"
"955",955,"Emotion Ad"
"956",956,"Reason Ad"
"957",957,"Control"
"958",958,"Control"
"959",959,"Emotion Ad"
"960",960,"Control"
"961",961,"Emotion Ad"
"962",962,"Control"
"963",963,"Emotion Ad"
"964",964,"Reason Ad"
"965",965,"Emotion Ad"
"966",966,"Emotion Ad"
"967",967,"Emotion Ad"
"968",968,"Control"
"969",969,"Reason Ad"
"970",970,"Emotion Ad"
"971",971,"Reason Ad"
"972",972,"Reason Ad"
"973",973,"Emotion Ad"
"974",974,"Reason Ad"
"975",975,"Control"
"976",976,"Reason Ad"
"977",977,"Reason Ad"
"978",978,"Control"
"979",979,"Control"
"980",980,"Reason Ad"
"981",981,"Reason Ad"
"982",982,"Control"
"983",983,"Reason Ad"
"984",984,"Control"
"985",985,"Reason Ad"
"986",986,"Emotion Ad"
"987",987,"Control"
"988",988,"Emotion Ad"
"989",989,"Reason Ad"
"990",990,"Reason Ad"
"991",991,"Emotion Ad"
"992",992,"Reason Ad"
"993",993,"Reason Ad"
"994",994,"Emotion Ad"
"995",995,"Emotion Ad"
"996",996,"Reason Ad"
"997",997,"Emotion Ad"
"998",998,"Reason Ad"
"999",999,"Reason Ad"
"1000",1000,"Emotion Ad"
"1001",1001,"Reason Ad"
"1002",1002,"Emotion Ad"
"1003",1003,"Emotion Ad"
"1004",1004,"Control"
"1005",1005,"Emotion Ad"
"1006",1006,"Emotion Ad"
"1007",1007,"Control"
"1008",1008,"Control"
"1009",1009,"Emotion Ad"
"1010",1010,"Reason Ad"
"1011",1011,"Emotion Ad"
"1012",1012,"Emotion Ad"
"1013",1013,"Emotion Ad"
"1014",1014,"Emotion Ad"
"1015",1015,"Emotion Ad"
"1016",1016,"Emotion Ad"
"1017",1017,"Control"
"1018",1018,"Control"
"1019",1019,"Reason Ad"
"1020",1020,"Reason Ad"
"1021",1021,"Emotion Ad"
"1022",1022,"Emotion Ad"
"1023",1023,"Emotion Ad"
"1024",1024,"Emotion Ad"
"1025",1025,"Control"
"1026",1026,"Control"
"1027",1027,"Emotion Ad"
"1028",1028,"Control"
"1029",1029,"Reason Ad"
"1030",1030,"Emotion Ad"
"1031",1031,"Emotion Ad"
"1032",1032,"Reason Ad"
"1033",1033,"Control"
"1034",1034,"Emotion Ad"
"1035",1035,"Reason Ad"
"1036",1036,"Control"
"1037",1037,"Control"
"1038",1038,"Reason Ad"
"1039",1039,"Emotion Ad"
"1040",1040,"Emotion Ad"
"1041",1041,"Reason Ad"
"1042",1042,"Control"
"1043",1043,"Control"
"1044",1044,"Control"
"1045",1045,"Control"
"1046",1046,"Emotion Ad"
"1047",1047,"Emotion Ad"
"1048",1048,"Emotion Ad"
"1049",1049,"Emotion Ad"
"1050",1050,"Control"
"1051",1051,"Emotion Ad"
"1052",1052,"Reason Ad"
"1053",1053,"Reason Ad"
"1054",1054,"Reason Ad"
"1055",1055,"Reason Ad"
"1056",1056,"Control"
"1057",1057,"Control"
"1058",1058,"Reason Ad"
