"","id","age","gender","race","income","education","region","hesitancy_q1","hesitancy_q2"
"86",86,56,"Male","Hispanic","Medium","Bachelor's or higher","Midwest",2,5
"87",87,70,"Male","White","Low","High School or less","West",4,2
"88",88,58,"Female","White","High","High School or less","South",4,2
"89",89,44,"Female","White","Low","High School or less","Midwest",5,5
"90",90,71,"Female","Hispanic","Low","High School or less","South",4,2
"91",91,68,"Male","White","High","High School or less","Midwest",2,5
"92",92,60,"Female","White","Low","Bachelor's or higher","South",3,1
"93",93,54,"Male","White","Medium","High School or less","Midwest",2,2
"94",94,39,"Female","White","High","Some College","South",4,1
"95",95,74,"Female","Asian","Low","Some College","South",4,2
"96",96,39,"Female","Black","Medium","High School or less","West",4,5
"97",97,89,"Male","White","Medium","Some College","Midwest",4,2
"98",98,78,"Male","White","Medium","High School or less","South",5,3
"99",99,46,"Female","Hispanic","High","Bachelor's or higher","Midwest",4,2
"100",100,32,"Male","White","High","High School or less","Northeast",4,2
"101",101,37,"Female","White","Low","Bachelor's or higher","Midwest",1,5
"102",102,55,"Female","Hispanic","Medium","High School or less","Midwest",3,3
"103",103,46,"Female","White","Medium","High School or less","Midwest",1,3
"104",104,44,"Female","Hispanic","High","High School or less","South",5,4
"105",105,33,"Male","White","Low","Bachelor's or higher","South",3,4
"106",106,49,"Male","Hispanic","High","Some College","South",2,4
"107",107,36,"Female","White","High","Some College","Northeast",1,4
"108",108,20,"Male","Hispanic","Low","High School or less","Midwest",5,3
"109",109,43,"Male","White","High","Bachelor's or higher","South",4,2
"110",110,67,"Male","Hispanic","High","Some College","Northeast",5,2
"111",111,40,"Female","White","High","Some College","Northeast",5,3
"112",112,61,"Male","White","Medium","Some College","Midwest",2,2
"113",113,21,"Male","Asian","Medium","High School or less","Northeast",3,1
"114",114,49,"Male","White","Medium","Some College","Midwest",5,4
"115",115,59,"Male","Black","High","Some College","South",1,4
"116",116,55,"Female","White","Low","Bachelor's or higher","West",2,3
"117",117,52,"Female","White","Medium","High School or less","South",5,3
"118",118,38,"Male","White","High","High School or less","South",5,2
"119",119,35,"Male","White","High","Some College","West",4,4
"120",120,32,"Male","White","Low","Bachelor's or higher","South",3,3
"121",121,52,"Female","Hispanic","Medium","High School or less","South",5,2
"122",122,33,"Male","Black","High","Bachelor's or higher","South",2,3
"123",123,41,"Female","White","High","High School or less","Midwest",4,3
"124",124,45,"Female","Hispanic","Medium","Bachelor's or higher","West",4,5
"125",125,83,"Male","White","Low","High School or less","West",1,2
"126",126,38,"Male","Hispanic","Low","Some College","West",4,1
"127",127,54,"Male","White","Medium","Bachelor's or higher","South",4,1
"128",128,51,"Male","White","High","High School or less","West",3,3
"129",129,33,"Male","Asian","Medium","High School or less","South",4,3
"130",130,49,"Male","White","Medium","Bachelor's or higher","Midwest",3,4
"131",131,76,"Female","White","Medium","High School or less","Midwest",2,3
"132",132,58,"Female","Hispanic","High","Bachelor's or higher","Midwest",3,5
"133",133,51,"Male","Hispanic","Low","Bachelor's or higher","Midwest",4,3
"134",134,42,"Female","White","Medium","Some College","South",5,3
"135",135,18,"Female","White","Medium","Bachelor's or higher","South",2,1
"136",136,70,"Male","Other","High","High School or less","South",3,3
"137",137,24,"Female","White","Low","Bachelor's or higher","Northeast",4,3
"138",138,63,"Male","Hispanic","Medium","High School or less","West",1,2
"139",139,84,"Female","White","High","High School or less","Northeast",4,5
"140",140,24,"Male","White","Medium","High School or less","Midwest",4,3
"141",141,63,"Male","Hispanic","Medium","High School or less","West",5,5
"142",142,45,"Female","Black","High","Some College","West",1,3
"143",143,22,"Male","White","Low","High School or less","Northeast",3,2
"144",144,23,"Female","White","High","Bachelor's or higher","South",3,2
"145",145,21,"Male","White","Medium","Some College","South",3,2
"146",146,40,"Male","Hispanic","Low","High School or less","West",5,3
"147",147,24,"Male","White","Medium","High School or less","South",5,1
"148",148,62,"Female","Black","High","Bachelor's or higher","Midwest",4,1
"149",149,88,"Female","White","Medium","High School or less","South",4,1
"150",150,27,"Female","White","Medium","Bachelor's or higher","West",4,2
"151",151,64,"Female","Hispanic","Low","Some College","South",3,5
"152",152,64,"Female","Asian","Low","Bachelor's or higher","West",5,3
"153",153,56,"Male","White","Low","Some College","South",4,4
"154",154,32,"Male","Hispanic","Low","High School or less","South",5,3
"155",155,48,"Male","White","Medium","Bachelor's or higher","Midwest",1,2
"156",156,45,"Female","Other","Low","High School or less","Midwest",1,4
"157",157,60,"Male","Asian","Medium","Some College","Northeast",2,2
"158",158,43,"Female","White","High","Bachelor's or higher","Midwest",2,2
"159",159,68,"Male","White","Medium","High School or less","West",2,2
"160",160,43,"Male","White","High","High School or less","South",4,5
"161",161,69,"Male","White","Medium","Some College","West",5,2
"162",162,31,"Male","White","Medium","Some College","Midwest",2,4
"163",163,27,"Male","Black","High","High School or less","South",1,2
"164",164,90,"Male","White","Medium","Some College","South",3,4
"165",165,42,"Female","White","High","Some College","Midwest",3,1
"166",166,55,"Female","Black","High","High School or less","Northeast",5,1
"167",167,61,"Female","White","Medium","High School or less","South",3,2
"168",168,41,"Female","White","Medium","Some College","Midwest",5,3
"169",169,59,"Male","Black","Medium","Some College","West",2,2
"170",170,57,"Male","Hispanic","Low","Some College","South",5,3
"171",171,46,"Female","Hispanic","Low","Bachelor's or higher","South",5,4
"172",172,51,"Female","Black","High","High School or less","Midwest",4,1
"173",173,49,"Female","White","Medium","High School or less","South",2,2
"174",174,88,"Female","White","Low","High School or less","West",3,3
"175",175,37,"Female","Asian","Low","High School or less","West",2,5
"176",176,30,"Male","White","Low","Some College","West",2,5
"177",177,51,"Female","Black","High","Bachelor's or higher","West",3,5
"178",178,56,"Female","White","Medium","High School or less","Northeast",1,5
"179",179,58,"Male","Asian","Low","Bachelor's or higher","Midwest",3,3
"180",180,42,"Female","Black","High","Some College","West",3,2
"181",181,31,"Male","White","High","High School or less","South",3,3
"182",182,73,"Female","White","Medium","Some College","West",3,2
"183",183,44,"Female","Black","High","Some College","South",3,4
"184",184,34,"Female","White","Medium","Bachelor's or higher","South",2,2
"185",185,46,"Male","White","Medium","Bachelor's or higher","Northeast",4,5
"186",186,46,"Male","White","Low","Some College","Northeast",4,2
"187",187,70,"Female","White","Medium","High School or less","Midwest",3,5
"188",188,52,"Female","White","Low","Some College","South",2,5
"189",189,64,"Male","White","Low","Some College","Northeast",4,3
"190",190,41,"Female","Asian","Medium","High School or less","Midwest",4,4
"191",191,54,"Male","Hispanic","High","High School or less","South",2,5
"192",192,44,"Female","Asian","High","High School or less","South",5,1
"193",193,52,"Male","Hispanic","Medium","Some College","South",4,2
"194",194,34,"Male","White","High","Some College","West",4,2
"195",195,26,"Male","White","High","Some College","West",3,2
"196",196,86,"Female","White","High","High School or less","Northeast",1,5
"197",197,61,"Female","White","Medium","High School or less","South",3,1
"198",198,27,"Male","Hispanic","Medium","High School or less","South",1,3
"199",199,39,"Male","White","Medium","Some College","Midwest",1,4
"200",200,29,"Female","White","Medium","High School or less","South",4,4
"201",201,90,"Male","Black","High","High School or less","Midwest",2,4
"202",202,74,"Female","White","High","Bachelor's or higher","West",3,5
"203",203,45,"Male","Hispanic","High","High School or less","Northeast",5,2
"204",204,60,"Male","White","High","High School or less","Northeast",5,3
"205",205,43,"Male","Asian","High","Bachelor's or higher","West",1,2
"206",206,41,"Female","White","Medium","Some College","South",3,1
"207",207,36,"Male","White","Low","Bachelor's or higher","South",2,3
"208",208,39,"Female","Hispanic","Low","Bachelor's or higher","South",4,2
"209",209,80,"Female","Hispanic","Low","Bachelor's or higher","South",3,5
"210",210,49,"Male","Black","High","Bachelor's or higher","South",4,5
"211",211,52,"Female","White","Medium","Some College","West",3,5
"212",212,54,"Female","White","Medium","High School or less","South",3,1
"213",213,72,"Male","White","Low","High School or less","Northeast",4,5
"214",214,41,"Female","White","Medium","High School or less","Northeast",4,3
"215",215,32,"Male","Black","High","High School or less","West",3,4
"216",216,80,"Male","Asian","High","Some College","West",2,3
"217",217,42,"Female","Black","High","Bachelor's or higher","South",5,4
"218",218,37,"Male","White","Low","Bachelor's or higher","West",1,5
"219",219,28,"Female","Hispanic","Medium","Bachelor's or higher","South",4,3
"220",220,27,"Female","White","Low","High School or less","South",2,4
"221",221,40,"Male","Hispanic","Medium","Some College","West",1,3
"222",222,61,"Male","White","Medium","High School or less","South",4,3
"223",223,70,"Male","Hispanic","Low","Bachelor's or higher","South",2,4
"224",224,63,"Male","Hispanic","Low","High School or less","South",3,2
"225",225,43,"Female","Hispanic","High","Some College","Midwest",3,4
"226",226,51,"Male","White","Low","High School or less","Northeast",3,2
"227",227,37,"Female","White","Low","High School or less","West",4,3
"228",228,37,"Male","Black","Medium","High School or less","South",3,5
"229",229,66,"Male","White","Medium","Bachelor's or higher","Northeast",5,4
"230",230,32,"Male","White","Medium","High School or less","Midwest",2,1
"231",231,85,"Female","White","Medium","Bachelor's or higher","Midwest",4,4
"232",232,48,"Female","White","Low","Some College","Midwest",3,2
"233",233,54,"Male","White","Medium","High School or less","Midwest",2,5
"234",234,37,"Female","White","Low","High School or less","West",5,4
"235",235,40,"Female","Black","High","Some College","Northeast",3,4
"236",236,26,"Male","White","Medium","Bachelor's or higher","Northeast",3,2
"237",237,47,"Female","White","Low","High School or less","South",5,4
"238",238,58,"Female","White","Low","Some College","South",3,2
"239",239,56,"Female","Hispanic","High","Bachelor's or higher","South",2,2
"240",240,36,"Female","Hispanic","High","High School or less","Midwest",1,4
"241",241,36,"Male","Black","Medium","Some College","South",3,4
"242",242,41,"Female","White","Low","Bachelor's or higher","South",5,5
"243",243,77,"Male","White","Medium","Some College","South",3,4
"244",244,30,"Female","White","Medium","High School or less","South",3,5
"245",245,47,"Female","Hispanic","Medium","Bachelor's or higher","West",3,5
"246",246,84,"Male","White","Low","High School or less","West",2,2
"247",247,48,"Male","Hispanic","High","High School or less","South",2,4
"248",248,26,"Male","White","Medium","High School or less","Midwest",4,2
"249",249,38,"Female","Asian","Medium","High School or less","West",4,5
"250",250,59,"Female","White","Low","Some College","West",3,5
"251",251,43,"Male","White","Low","Bachelor's or higher","Midwest",3,4
"252",252,40,"Male","Black","High","Some College","Northeast",3,5
"253",253,44,"Female","White","Low","High School or less","Northeast",4,4
"254",254,52,"Male","White","High","Bachelor's or higher","Midwest",1,2
"255",255,79,"Female","White","Medium","Some College","South",4,5
"256",256,48,"Female","White","Low","High School or less","West",2,4
"257",257,69,"Male","Black","Low","Some College","South",4,5
"258",258,61,"Female","White","High","Some College","Midwest",3,4
"259",259,48,"Male","White","Medium","High School or less","Midwest",4,2
"260",260,22,"Female","Hispanic","Medium","Some College","Northeast",4,3
"261",261,41,"Female","Black","High","Bachelor's or higher","Northeast",1,3
"262",262,41,"Male","White","Medium","Bachelor's or higher","South",3,4
"263",263,51,"Female","White","Medium","High School or less","South",4,3
"264",264,73,"Male","Other","Medium","Some College","Midwest",4,5
"265",265,90,"Female","White","Medium","Some College","South",5,3
"266",266,78,"Female","White","High","High School or less","South",2,4
"267",267,48,"Female","White","Medium","Bachelor's or higher","Northeast",1,1
"268",268,18,"Female","Hispanic","Low","Some College","South",3,2
"269",269,43,"Male","Hispanic","Medium","Bachelor's or higher","South",4,3
"270",270,52,"Female","Hispanic","Medium","High School or less","South",1,5
"271",271,65,"Male","Hispanic","Medium","High School or less","Northeast",4,1
"272",272,67,"Male","White","Medium","Bachelor's or higher","South",1,2
"273",273,62,"Male","White","High","Some College","South",5,4
"274",274,25,"Male","White","Low","Bachelor's or higher","South",4,5
"275",275,65,"Female","White","High","High School or less","South",5,2
"276",276,42,"Female","White","High","Some College","Midwest",3,4
"277",277,53,"Female","White","Low","Some College","South",1,1
"278",278,51,"Male","White","Medium","Bachelor's or higher","South",3,3
"279",279,58,"Female","Other","Medium","Some College","Northeast",4,2
"280",280,50,"Male","White","Medium","High School or less","Northeast",3,1
"281",281,20,"Male","White","High","Some College","West",2,4
"282",282,63,"Male","Hispanic","Medium","High School or less","Midwest",4,5
"283",283,57,"Female","White","Low","Bachelor's or higher","West",4,1
"284",284,45,"Female","White","Medium","Bachelor's or higher","Northeast",2,4
"285",285,52,"Male","White","Medium","High School or less","Midwest",2,4
"286",286,52,"Female","White","High","Some College","Midwest",5,3
"287",287,54,"Female","White","Low","Bachelor's or higher","West",3,2
"288",288,80,"Male","Hispanic","Low","Bachelor's or higher","Midwest",5,4
"289",289,46,"Male","Black","Medium","Bachelor's or higher","Northeast",1,5
"290",290,53,"Male","White","High","Bachelor's or higher","Midwest",4,4
"291",291,71,"Female","White","Medium","Bachelor's or higher","Midwest",5,4
"292",292,69,"Female","White","Medium","High School or less","West",3,5
"293",293,71,"Female","White","High","Some College","Midwest",2,3
"294",294,40,"Male","Asian","Low","High School or less","West",2,3
"295",295,86,"Male","White","High","Bachelor's or higher","South",5,4
"296",296,51,"Female","Hispanic","High","Bachelor's or higher","West",2,2
"297",297,84,"Female","White","Medium","Bachelor's or higher","South",3,5
"298",298,26,"Female","Hispanic","Medium","Some College","South",2,4
"299",299,50,"Female","Black","Medium","Bachelor's or higher","South",5,2
"300",300,72,"Male","Black","High","High School or less","West",4,5
"301",301,37,"Female","White","High","Some College","South",4,2
"302",302,36,"Male","White","High","Some College","West",4,4
"303",303,33,"Male","Hispanic","Low","Some College","South",5,4
"304",304,31,"Male","White","High","Some College","South",2,3
"305",305,42,"Male","White","Low","High School or less","South",4,4
"306",306,56,"Female","White","Medium","Some College","Midwest",2,2
"307",307,18,"Female","White","High","Bachelor's or higher","South",4,3
"308",308,54,"Female","Black","Medium","High School or less","South",5,3
"309",309,72,"Female","White","High","High School or less","West",2,3
"310",310,87,"Male","White","Medium","Some College","Northeast",3,4
"311",311,73,"Female","White","High","High School or less","Northeast",2,3
"312",312,64,"Female","Hispanic","Medium","Bachelor's or higher","West",5,4
"313",313,19,"Male","Black","Medium","High School or less","Northeast",5,3
"314",314,39,"Male","White","Low","Bachelor's or higher","Northeast",2,5
"315",315,44,"Male","Hispanic","Low","Bachelor's or higher","West",5,2
"316",316,63,"Female","Hispanic","Medium","Bachelor's or higher","Northeast",2,3
"317",317,48,"Male","White","High","High School or less","Northeast",5,3
"318",318,27,"Male","Hispanic","Medium","High School or less","Northeast",5,2
"319",319,80,"Male","White","High","Bachelor's or higher","Northeast",2,3
"320",320,66,"Male","Hispanic","Medium","High School or less","South",3,2
"321",321,54,"Male","White","Medium","High School or less","Northeast",5,4
"322",322,72,"Female","Black","High","Some College","West",3,3
"323",323,26,"Female","Hispanic","High","Bachelor's or higher","Northeast",4,5
"324",324,62,"Female","White","Medium","High School or less","Midwest",4,3
"325",325,41,"Female","White","High","High School or less","West",2,4
"326",326,62,"Male","White","Low","High School or less","South",4,4
"327",327,49,"Male","Asian","Low","High School or less","South",3,3
"328",328,61,"Male","White","High","High School or less","South",3,4
"329",329,74,"Male","White","High","High School or less","Midwest",2,3
"330",330,50,"Female","White","Low","Some College","South",4,5
"331",331,68,"Female","Black","High","High School or less","South",3,2
"332",332,29,"Male","Black","High","High School or less","West",4,2
"333",333,37,"Male","White","High","Some College","West",4,4
"334",334,77,"Female","White","Medium","High School or less","South",1,1
"335",335,57,"Female","Other","High","High School or less","Northeast",2,3
"336",336,18,"Female","White","Medium","Bachelor's or higher","South",5,4
"337",337,25,"Male","White","Low","Bachelor's or higher","West",5,5
"338",338,46,"Male","White","Medium","Bachelor's or higher","South",2,1
"339",339,66,"Female","White","Low","Some College","Midwest",2,4
"340",340,48,"Female","White","Medium","High School or less","Northeast",4,3
"341",341,61,"Male","White","High","Bachelor's or higher","Northeast",5,4
"342",342,67,"Male","Other","Medium","High School or less","Midwest",5,2
"343",343,80,"Female","White","Medium","Bachelor's or higher","South",1,1
"344",344,51,"Male","White","High","High School or less","South",5,2
"345",345,49,"Male","White","Medium","High School or less","Northeast",1,2
"346",346,18,"Female","White","High","High School or less","South",4,2
"347",347,52,"Male","White","Medium","Some College","South",2,3
"348",348,40,"Male","White","Medium","High School or less","West",4,2
"349",349,32,"Female","White","Low","Some College","South",3,4
"350",350,47,"Female","White","Low","Some College","Midwest",4,5
"351",351,68,"Male","White","High","Bachelor's or higher","West",3,4
"352",352,18,"Female","White","Medium","Some College","Northeast",2,1
"353",353,42,"Female","Hispanic","Medium","High School or less","Midwest",4,5
"354",354,52,"Male","White","Low","Bachelor's or higher","West",5,4
"355",355,34,"Male","Asian","Low","Some College","Northeast",2,3
"356",356,56,"Female","White","Medium","High School or less","Midwest",2,5
"357",357,57,"Female","Asian","Low","High School or less","West",2,4
"358",358,49,"Female","White","High","Some College","Midwest",3,4
"359",359,18,"Male","White","High","High School or less","Midwest",4,2
"360",360,90,"Male","Black","Medium","Bachelor's or higher","South",3,5
"361",361,46,"Female","Black","High","Bachelor's or higher","Northeast",2,5
"362",362,62,"Female","Asian","Medium","High School or less","West",4,4
"363",363,55,"Male","Black","Medium","Some College","West",5,2
"364",364,68,"Female","White","Medium","Some College","South",3,3
"365",365,65,"Male","Hispanic","Low","High School or less","West",2,2
"366",366,46,"Female","White","High","Some College","Northeast",5,4
"367",367,57,"Female","Black","Medium","High School or less","South",3,3
"368",368,33,"Male","White","Medium","Some College","Midwest",3,3
"369",369,65,"Female","White","High","High School or less","Midwest",5,5
"370",370,42,"Female","White","High","High School or less","South",2,5
"371",371,90,"Female","White","Medium","High School or less","South",4,2
"372",372,20,"Female","Hispanic","Medium","Some College","Midwest",3,1
"373",373,42,"Male","Black","Medium","Bachelor's or higher","Northeast",2,5
"374",374,65,"Male","Black","Medium","High School or less","South",2,5
"375",375,59,"Female","White","Medium","Bachelor's or higher","West",2,3
"376",376,39,"Female","White","High","Bachelor's or higher","West",5,5
"377",377,32,"Female","Black","Low","High School or less","West",2,3
"378",378,53,"Female","White","Medium","High School or less","South",2,3
"379",379,50,"Male","White","Medium","Bachelor's or higher","Northeast",4,5
"380",380,18,"Male","White","Medium","Some College","South",1,5
"381",381,51,"Male","White","Medium","Bachelor's or higher","Northeast",5,2
"382",382,53,"Male","White","High","Bachelor's or higher","Midwest",3,5
"383",383,53,"Male","White","Medium","High School or less","Midwest",2,3
"384",384,31,"Male","White","High","High School or less","West",3,1
"385",385,59,"Male","Black","High","High School or less","Northeast",2,2
"386",386,75,"Female","Black","Low","High School or less","West",4,2
"387",387,58,"Male","White","Low","Bachelor's or higher","South",4,3
"388",388,30,"Male","Asian","Low","High School or less","South",5,1
"389",389,42,"Female","Hispanic","Medium","Bachelor's or higher","Midwest",4,1
"390",390,56,"Male","White","Medium","Some College","South",3,4
"391",391,38,"Male","Other","Medium","Bachelor's or higher","West",5,4
"392",392,18,"Female","White","High","Bachelor's or higher","Midwest",5,4
"393",393,66,"Female","White","Low","Some College","Northeast",3,2
"394",394,35,"Female","Hispanic","High","Bachelor's or higher","Midwest",3,3
"395",395,40,"Male","Black","High","Some College","West",4,2
"396",396,77,"Male","White","High","High School or less","Midwest",5,3
"397",397,36,"Male","Hispanic","Low","Bachelor's or higher","Northeast",1,5
"398",398,65,"Male","White","Medium","Bachelor's or higher","Midwest",2,4
"399",399,27,"Female","White","High","High School or less","Midwest",5,5
"400",400,44,"Female","White","Low","Bachelor's or higher","West",2,4
"401",401,49,"Male","White","Low","High School or less","West",2,3
"402",402,29,"Female","White","Medium","High School or less","South",3,3
"403",403,39,"Female","Other","Medium","Some College","South",5,4
"404",404,49,"Female","Black","Medium","Bachelor's or higher","South",3,3
"405",405,62,"Male","White","Low","Some College","South",4,2
"406",406,20,"Male","Hispanic","High","Bachelor's or higher","South",3,5
"407",407,44,"Female","White","High","High School or less","West",2,5
"408",408,64,"Male","White","Medium","High School or less","West",4,2
"409",409,40,"Female","Black","Medium","Some College","South",2,2
"410",410,54,"Male","Black","High","High School or less","Midwest",5,2
"411",411,59,"Male","White","High","High School or less","Midwest",3,4
"412",412,55,"Male","White","High","High School or less","South",5,4
"413",413,62,"Female","Hispanic","High","Some College","Northeast",2,2
"414",414,48,"Female","Black","Medium","Some College","South",2,1
"415",415,43,"Female","White","Low","Bachelor's or higher","West",2,4
"416",416,18,"Male","White","Low","High School or less","South",4,3
"417",417,48,"Female","Hispanic","Low","Bachelor's or higher","West",2,2
"418",418,58,"Female","White","Medium","Some College","Midwest",4,4
"419",419,60,"Male","Other","Medium","Some College","Midwest",3,3
"420",420,40,"Male","Asian","Medium","High School or less","South",2,3
"421",421,82,"Female","White","High","Some College","South",3,5
"422",422,55,"Male","White","High","High School or less","Northeast",2,2
"423",423,52,"Male","Hispanic","Low","Bachelor's or higher","Midwest",4,3
"424",424,73,"Male","Hispanic","Low","Some College","South",2,5
"425",425,37,"Female","Hispanic","Medium","Some College","West",2,4
"426",426,42,"Male","White","High","Bachelor's or higher","West",3,1
"427",427,90,"Female","White","High","High School or less","Northeast",3,2
"428",428,50,"Male","White","High","Some College","West",3,3
"429",429,79,"Female","White","High","Bachelor's or higher","Midwest",4,4
"430",430,24,"Male","Hispanic","Medium","Some College","South",1,4
"431",431,47,"Female","White","Low","High School or less","South",3,2
"432",432,57,"Male","Hispanic","Medium","Some College","Midwest",4,1
"433",433,55,"Female","Hispanic","Low","Bachelor's or higher","Northeast",2,4
"434",434,32,"Male","White","Medium","High School or less","Northeast",2,4
"435",435,50,"Female","White","Low","High School or less","South",2,4
"436",436,31,"Female","Black","Medium","High School or less","West",5,4
"437",437,63,"Female","White","High","Some College","South",2,3
"438",438,70,"Female","White","High","Some College","Northeast",4,5
"439",439,18,"Male","Black","Low","Some College","South",3,4
"440",440,72,"Male","Hispanic","Low","High School or less","Northeast",4,2
"441",441,28,"Male","White","Low","Some College","Northeast",5,4
"442",442,58,"Female","White","Medium","High School or less","South",1,3
"443",443,62,"Male","White","High","Bachelor's or higher","Midwest",3,3
"444",444,46,"Male","White","Low","High School or less","West",3,2
"445",445,38,"Male","White","Low","Some College","Northeast",5,4
"446",446,53,"Female","White","High","Bachelor's or higher","Northeast",2,2
"447",447,58,"Male","White","Low","High School or less","West",4,2
"448",448,66,"Female","Hispanic","Low","Some College","South",4,3
"449",449,18,"Female","White","Medium","Bachelor's or higher","South",3,3
"450",450,21,"Male","White","Medium","High School or less","South",4,3
"451",451,76,"Male","White","High","High School or less","Northeast",1,3
"452",452,69,"Female","White","Low","Some College","West",3,4
"453",453,58,"Female","White","Medium","Bachelor's or higher","South",2,5
"454",454,63,"Male","White","Medium","High School or less","West",3,3
"455",455,67,"Male","Hispanic","Medium","Bachelor's or higher","South",5,3
"456",456,18,"Female","White","Medium","Some College","South",5,5
"457",457,70,"Female","Hispanic","Medium","High School or less","Northeast",1,3
