Page number	proj no	State	city	county	name of facility	control	category	type const	adj fac	beds provided	Total	Hill-Burton Funds	Month	Year	Status
27	0006	Alabama	Birmingham	Jefferson	Crippled Child Clinic	1	1	1	-	100	"1,876,969"	"566,018"	03	48	3
27	0149	Alabama	Birmingham	Jefferson	Diagnostic Screen CTR	3	9	1	-	-	"241,247"	"97,149"	01	57	3
27	D394	Alabama	Birmingham	Jefferson	Diagnostic Screen CTR	3	9	2	4	-	"159,350"	"95,262"	08	66	3
27	0097	Alabama	Birmingham	Jefferson	Eastern Aux PHC	2	5	1	-	-	"81,097"	"50,246"	12	53	3
27	D103	Alabama	Birmingham	Jefferson	Eye Foundation Hosp	1	9	1	-	-	"225,894"	"128,000"	01	62	3
27	N406	Alabama	Birmingham	Jefferson	Fair Haven Nrsng Home	1	0	2	-	26	"280,893"	"175,000"	10	67	3
27	N199	Alabama	Birmingham	Jefferson	Fair Haven Nrsng Home	1	0	2	-	30	"290,822"	"183,371"	02	62	3
27	M460	Alabama	Birmingham	Jefferson	Holy Family Hosp	1	1	3	4	56	"335,839"	"200,027"	03	69	3
27	0002	Alabama	Birmingham	Jefferson	Jefferson CO PHC	3	5	1	-	-	"951,874"	"317,291"	11	47	3
27	M403	Alabama	Birmingham	Jefferson	Jefferson TB Sanatorium	1	2	8	4	60	"894,478"	"536,687"	10	68	2
27	0072	Alabama	Birmingham	Jefferson	Jefferson TB Sanatorium	1	2	2	-	46	"407,309"	"270,691"	10	56	3
27	0121	Alabama	Birmingham	Jefferson	Mercy Hosp	3	9	1	-	-	"1,227,666"	"736,599"	06	69	2
27	R418	Alabama	Birmingham	Jefferson	N Central Ala Rehab CTR	1	6	1	-	-	"654,768"	"428,870"	05	67	3
27	0247	Alabama	Birmingham	Jefferson	Northern Aux PHC	2	5	1	-	-	"134,953"	"88,630"	12	59	3
27	N145	Alabama	Birmingham	Jefferson	ST Martins in the Pines	1	0	1	-	40	"541,121"	"250,000"	06	57	3
27	M430	Alabama	Birmingham	Jefferson	ST Vincents Hosp	1	1	8	4	159	"6,069,331"	"1,000,000"	08	68	2
27	0007	Alabama	Birmingham	Jefferson	ST Vincents Hosp	1	1	2	-	90	"1,559,473"	"483,206"	04	48	3
27	0391	Alabama	Birmingham	Jefferson	Univ Diabetes Hosp	4	LTU	2	-	40	"1,140,120"	"645,418"	03	70	2
27	D391	Alabama	Birmingham	Jefferson	Univ Diabetes Hosp	4	9	1	-	-	"1,348,139"	"354,582"	06	71	2
27	C260	Alabama	Birmingham	Jefferson	Univ Hosp	4	LTU	2	-	46	"756,395"	"495,419"	01	62	3
27	M326	Alabama	Birmingham	Jefferson	Univ Hosp	4	1	3	-	-	"423,147"	"237,630"	05	66	3
27	M324	Alabama	Birmingham	Jefferson	Univ Hosp	4	1	3	4	323	"1,881,914"	"795,596"	03	67	3
27	R260	Alabama	Birmingham	Jefferson	Univ Hosp	4	6	2	-	-	"947,887"	"624,581"	01	62	3
27	M464	Alabama	Birmingham	Jefferson	Univ Hosp	4	1	3	4	-	"1,628,054"	"976,832"	07	70	2
27	0138	Alabama	Birmingham	Jefferson	Univ Hosp	4	1	2	6	-	"1,995,098"	"1,250,000"	04	60	3
27	0443	Alabama	Birmingham	Jefferson	Univ Hosp Betatron Unit	4	9	3	4	-	"226,827"	"45,933"	03	70	2
27	0301	Alabama	Birmingham	Jefferson	Univ Hosp Dental CL	4	1	2	4	-	"2,523,721"	"420,811"	11	49	3
27	D139	Alabama	Birmingham	Jefferson	Univ Hosp Psych CL	4	9	2	-	-	"296,345"	"196,160"	11	58	3
27	0312	Alabama	Birmingham	Jefferson	Univ Hosp Psych Unit	4	1	2	-	100	"4,190,298"	"1,204,000"	10	63	3
27	D350	Alabama	Birmingham	Jefferson	Univ Hosp Smolian CL	4	9	5	-	-	"303,000"	"200,900"	02	64	3
27	D205	Alabama	Birmingham	Jefferson	Western PHC	3	9	1	-	-	"569,000"	"341,400"	06	71	1
27	0205	Alabama	Birmingham	Jefferson	Western PHC	3	5	4	-	-	"531,000"	"318,600"	06	71	1
27	0196	Alabama	Boaz	Marshall	Boaz Albertville Hosp	3	1	5	4	72	"1,371,954"	"765,551"	06	66	3
27	C087	Alabama	Boaz	Marshall	Boaz Albertville Hosp	3	LTU	2	-	21	"284,031"	"128,729"	02	59	3
28	0259	Alabama	Brewton	Escambia	D W Mcmillan Mem Hosp	3	1	2	4	26	"279,451"	"179,409"	10	62	3
28	0469	Alabama	Brewton	Escambia	D W Mcmillan Mem Hosp	3	1	2	4	8	"249,440"	"149,374"	08	70	2
28	0412	Alabama	Brewton	Escambia	D W Mcmillan Mem Hosp	3	1	2	4	28	"746,416"	"394,000"	02	67	3
28	0041	Alabama	Brewton	Escambia	D W Mcmillan Mem Hosp	3	1	1	-	35	"630,245"	"375,623"	07	52	3
28	0220	Alabama	Brewton	Escambia	Escambia County PHC	3	5	1	-	-	"90,662"	"58,402"	02	60	3
28	0287	Alabama	Bridgeport	Jackson	North Jackson Hosp	3	1	2	-	15	"182,903"	"110,000"	12	62	3
28	0204	Alabama	Butler	Choctaw	Choctaw General Hosp	3	1	1	-	40	"604,585"	"307,200"	11	58	3
28	N298	Alabama	Butler	Choctaw	Choctaw General Hosp	3	LTU	2	-	40	"311,066"	"206,615"	12	62	3
28	0133	Alabama	Camden	Wilcox	Wilcox Memorial Hosp	6	1	1	-	20	"253,829"	"169,220"	10	55	3
28	0156	Alabama	Carrollton	Pickens	Pickens CO PHC	3	5	1	-	-	"71,106"	"43,800"	09	57	3
28	0070	Alabama	Centre	Cherokee	Cherokee County Hosp	3	1	1	-	27	"447,066"	"270,000"	10	55	3
28	0357	Alabama	Centre	Cherokee	Cherokee County Hosp	3	1	2	-	8	"361,152"	"200,000"	12	65	3
28	N311	Alabama	Centre	Cherokee	Cherokee County Hosp	3	LTU	2	4	30	"236,480"	"132,640"	04	63	3
28	N234	Alabama	Centre	Cherokee	Cherokee County Hosp	3	LTU	2	-	20	"202,726"	"134,552"	12	59	3
28	0186	Alabama	Centre	Cherokee	Cherokee County Hosp	3	1	5	-	13	"101,311"	"67,541"	12	60	3
28	0188	Alabama	Centre	Cherokee	Cherokee County PHC	3	5	1	-	-	"76,462"	"50,241"	12	58	3
28	N449	Alabama	Centreville	Bibb	Bibb CO Nursing Home	3	0	2	4	18	"158,128"	"94,875"	11	69	3
28	N293	Alabama	Centreville	Bibb	Bibb County Hosp	3	LTU	2	-	30	"418,563"	"277,375"	04	66	3
28	0063	Alabama	Centreville	Bibb	Bibb County Hosp	3	1	1	-	25	"472,182"	"275,000"	10	57	3
28	0165	Alabama	Centreville	Bibb	Bibb County PHC	3	5	1	-	-	"88,104"	"55,000"	02	61	3
28	N447	Alabama	Chatom	Washington	Washington County Hosp	3	LTU	2	4	50	"822,800"	"493,680"	11	70	2
28	0254	Alabama	Chatom	Washington	Washington County Hosp	3	1	2	-	13	"120,708"	"80,472"	06	61	3
28	0030	Alabama	Chatom	Washington	Washington County Hosp	3	1	1	-	20	"371,508"	"246,612"	10	51	3
28	0354	Alabama	Chatom	Washington	Washington County PHC	3	5	4	-	-	"101,842"	"67,895"	02	65	3
28	N146	Alabama	Clanton	Chilton	Chilton County Hosp	3	LTU	2	-	30	"351,789"	"204,919"	03	56	3
28	0067	Alabama	Clanton	Chilton	Chilton County Hosp	3	1	1	-	40	"648,250"	"400,000"	12	53	3
28	0207	Alabama	Clanton	Chilton	Chilton County PHC	3	5	1	-	-	"80,349"	"53,566"	04	58	3
28	0130	Alabama	Clayton	Barbour	Barbour CO PHC	3	5	1	-	-	"88,630"	"59,006"	10	55	3
28	0164	Alabama	Clio	Barbour	Clio Aux PHC	3	5	1	-	-	"28,993"	"19,328"	01	58	3
28	0136	Alabama	Columbiana	Shelby	Shelby County PHC	3	5	1	-	-	"59,279"	"39,519"	10	55	3
28	0290	Alabama	Columbiana	Shelby	Shelby County PHC	3	5	2	4	-	"76,350"	"50,780"	12	61	3
28	0029	Alabama	Cullman	Cullman	Cullman Hosp	6	1	5	4	64	"1,065,831"	"631,465"	09	54	3
28	0035	Alabama	Cullman	Cullman	Cullman PHC	3	5	1	-	-	"99,163"	"66,016"	03	50	3
28	0346	Alabama	Dadeville	Tallapoosa	E Tallapoosa Hosp	3	1	1	8	-	"272,969"	"41,370"	04	64	3
28	0229	Alabama	Dadeville	Tallapoosa	Tallapoosa County PHC	3	5	1	-	-	"80,056"	"52,535"	12	59	3
28	N286	Alabama	Daphne	Baldwin	Villa Mercy Nrsng Home	1	0	2	-	38	"410,302"	"242,200"	05	63	3
28	0215	Alabama	Decatur	Morgan	Decatur General Hosp	6	1	5	4	50	"1,159,622"	"548,334"	03	65	3
29	L433	Alabama	Decatur	Morgan	Decatur General Hosp	6	LTU	2	-	21	"298,850"	"150,000"	12	69	2
29	0433	Alabama	Decatur	Morgan	Decatur General Hosp	6	1	5	-	88	"1,766,280"	"850,000"	09	69	2
29	0019	Alabama	Decatur	Morgan	Decatur General Hosp	3	1	5	4	77	"1,069,800"	"673,794"	02	56	3
29	0038	Alabama	Decatur	Morgan	District 1 TB San	5	2	1	-	161	"1,144,693"	"754,984"	02	49	3
29	R462	Alabama	Decatur	Morgan	L Wallace Develope CTR	4	6	2	-	-	"335,355"	"201,213"	03	69	2
29	M470	Alabama	Decatur	Morgan	Tri County District PHC	3	5	4	-	-	"1,000,000"	"300,000"	02	70	2
29	0046	Alabama	Demopolis	Marengo	Bryan Whitfield Mem	2	1	1	-	29	"524,783"	"249,773"	10	51	3
29	0159	Alabama	Demopolis	Marengo	Bryan Whitfied Mem	2	1	2	4	20	"210,844"	"119,762"	11	57	3
29	0249	Alabama	Demopolis	Marengo	Demopolis PHC	2	5	1	-	-	"40,353"	"26,902"	02	61	3
29	D289	Alabama	Dothan	Houston	Houston CO Mental CL	3	9	2	-	-	"72,747"	"48,498"	04	62	3
29	N167	Alabama	Dothan	Houston	Houston CO Nrsng Home	3	LTU	2	4	40	"449,498"	"240,000"	12	58	3
29	0153	Alabama	Dothan	Houston	Houston County PHC	3	5	1	-	-	"151,026"	"100,684"	10	56	3
29	R384	Alabama	Dothan	Houston	Rotary Childrens Clinic	1	6	1	-	-	"309,332"	"172,685"	07	66	3
29	0053	Alabama	Dothan	Houston	S E Alabama GEN Hosp	3	1	1	-	111	"1,536,927"	"802,261"	09	54	3
29	0268	Alabama	Dothan	Houston	S E Alabama GEN Hosp	3	1	2	-	76	"1,655,509"	"550,000"	04	64	3
29	0235	Alabama	Elba	Coffee	Coffee County PHC	3	5	1	-	-	"77,895"	"51,930"	06	61	3
29	0189	Alabama	Elba	Coffee	Elba General Hosp	2	1	1	-	28	"490,448"	"263,000"	01	61	3
29	N210	Alabama	Elba	Coffee	Elba General Hosp	2	LTU	2	-	40	"506,217"	"332,419"	05	65	3
29	0426	Alabama	Elba	Coffee	Elba General Hosp	2	1	5	4	15	"506,991"	"256,000"	10	68	2
29	0090	Alabama	Ensley	Jefferson	Holy Family Hosp	1	1	1	-	62	"924,404"	"597,874"	07	52	3
29	0116	Alabama	Enterprise	Coffee	Enterprise Aux PHC	2	5	1	-	-	"99,936"	"66,624"	08	52	3
29	N255	Alabama	Enterprise	Coffee	Enterprise Hosp	2	LTU	1	-	25	"274,263"	"168,000"	08	62	3
29	N381	Alabama	Enterprise	Coffee	Enterprise Hosp	3	LTU	2	-	19	"99,648"	"66,432"	07	66	3
29	N296	Alabama	Eufaula	Barbour	Barbour County Hosp	3	LTU	2	-	45	"419,976"	"272,032"	11	62	3
29	0358	Alabama	Eufaula	Barbour	Barbour County Hosp	3	1	5	-	24	"324,623"	"211,797"	09	66	3
29	0039	Alabama	Eufaula	Barbour	Barbour County Hosp	3	1	1	-	50	"791,851"	"500,000"	09	52	3
29	0228	Alabama	Eutaw	Greene	Greene County Hosp	3	1	1	-	26	"457,029"	"294,928"	02	60	3
29	N310	Alabama	Eutaw	Greene	Greene County Hosp	3	LTU	2	-	32	"335,737"	"222,181"	01	64	3
29	N444	Alabama	Eutaw	Greene	Greene County Hosp	3	LTU	2	4	20	"235,416"	"141,249"	02	69	2
29	0203	Alabama	Eutaw	Greene	Greene County PHC	3	5	1	-	-	"110,128"	"73,419"	05	65	3
29	0261	Alabama	Evergreen	Conecuh	Conecuh County Hosp	3	1	2	4	7	"214,177"	"118,000"	04	66	3
29	0032	Alabama	Evergreen	Conecuh	Conecuh County Hosp	3	1	1	-	35	"441,732"	"291,238"	08	51	3
29	0238	Alabama	Evergreen	Conecuh	Conecuh County PHC	3	5	1	-	-	"94,620"	"63,080"	11	62	3
29	M073	Alabama	Fairfield	Jefferson	Lloyo Noland Hosp	1	1	8	4	21	"1,476,134"	"468,200"	04	68	3
29	0478	Alabama	Fairhope	Baldwin	Thomas Hosp	3	1	2	-	7	"145,800"	"87,480"	05	71	2
29	0166	Alabama	Fairhope	Baldwin	Thomas Hosp	3	1	1	-	35	"574,495"	"357,000"	10	58	3
29	0362	Alabama	Fairhope	Baldwin	Thomas Hosp	3	1	5	4	18	"354,414"	"167,758"	12	65	3
30	0141	Alabama	Fayette	Fayette	Fayette CO Hosp	3	1	1	-	35	"558,795"	"352,946"	10	56	3
30	0343	Alabama	Fayette	Fayette	Fayette CO Hosp	3	1	5	-	27	"523,117"	"212,000"	07	64	3
30	N344	Alabama	Fayette	Fayette	Fayette CO Hosp	3	LTU	2	-	20	"304,018"	"198,508"	03	65	3
30	N142	Alabama	Fayette	Fayette	Fayette CO Hosp	3	LTU	2	-	28	"233,019"	"146,000"	12	60	3
30	0115	Alabama	Fayette	Fayette	Fayette CO PHC	3	5	1	-	-	"94,784"	"63,189"	10	52	3
30	M374	Alabama	Flomaton	Escambia	Abernathy Memorial Hosp	3	1	3	4	18	"341,495"	"221,256"	03	67	3
30	0185	Alabama	Florence	Lauderdale	Eliza Coffee Mem Hosp	6	1	2	8	-	"20,220"	"13,480"	05	64	3
30	0108	Alabama	Florence	Lauderdale	Eliza Coffee Mem Hosp	6	1	2	-	75	"1,868,128"	"850,000"	12	57	3
30	R493	Alabama	Florence	Lauderdale	Eliza Coffee Mem Hosp	6	6	2	-	-	"295,000"	"177,000"	05	71	1
30	0086	Alabama	Florence	Lauderdale	Lauderdale CO PHC	3	5	1	-	-	"134,286"	"75,465"	10	52	3
30	N240	Alabama	Florence	Lauderdale	Mitchell Hollingsworth	6	LTU	2	-	18	"157,870"	"92,000"	01	60	3
30	N434	Alabama	Florence	Lauderdale	Mitchell Hollingsworth	6	LTU	5	-	78	"1,000,070"	"600,042"	05	69	2
30	N308	Alabama	Florence	Lauderdale	Mitchell Hollingsworth	6	LTU	2	-	62	"731,575"	"200,000"	05	64	3
30	0355	Alabama	Foley	Balowin	Foley PHC	2	5	1	-	-	"62,922"	"41,948"	09	65	3
30	0168	Alabama	Foley	Balowin	South Baldwin CO Hosp	3	1	1	-	35	"520,013"	"336,228"	10	56	3
30	0276	Alabama	Foley	Baldwin	South Baldwin CO Hosp	3	1	2	4	15	"228,050"	"152,034"	02	63	3
30	N161	Alabama	FT Payne	DE Kalb	DE Kalb County Gen Hosp	3	LTU	2	-	25	"537,743"	"138,674"	03	59	3
30	0016	Alabama	FT Payne	DE Kalb	DE Kalb County Gen Hosp	3	1	1	-	55	"606,235"	"400,554"	01	49	3
30	0190	Alabama	FT Payne	DE Kalb	DE Kalb County PHC	3	5	1	-	-	"110,684"	"71,856"	12	61	3
30	0216	Alabama	Gadsoen	Etowah	Baptist Memorial Hosp	1	1	6	-	199	"2,867,513"	"1,400,000"	05	60	3
30	0036	Alabama	Gadsden	Etowah	District 4 TB San	5	2	1	-	141	"1,227,453"	"797,469"	09	52	3
30	0021	Alabama	Gadsden	Etowah	Etowah County PHC	3	5	1	-	-	"359,681"	"119,880"	03	49	3
30	0077	Alabama	Gadsden	Etowah	Holy Name of Jesus Hosp	1	1	2	-	52	"1,064,080"	"600,000"	04	62	3
30	D193	Alabama	Gadsden	Etowah	Mental Health Clinic	3	9	2	-	-	"83,995"	"48,343"	02	58	3
30	0100	Alabama	Geneva	Geneva	Geneva CO PHC	3	5	1	-	-	"71,919"	"47,946"	09	57	3
30	0092	Alabama	Geneva	Geneva	Wiregrass Hosp	3	1	1	-	33	"475,534"	"300,000"	11	53	3
30	0339	Alabama	Geneva	Geneva	Wiregrass Hosp	3	1	2	4	28	"654,000"	"392,400"	11	70	2
30	0237	Alabama	Geneva	Geneva	Wiregrass Hosp	3	1	2	-	17	"149,258"	"99,505"	12	60	3
30	G160	Alabama	Geneva	Geneva	Wiregrass Hosp	3	1	3	4	-	"83,869"	"55,856"	07	65	3
30	N160	Alabama	Geneva	Geneva	Wiregrass Hosp	3	LTU	2	-	40	"581,230"	"387,487"	07	65	3
30	0267	Alabama	Greensboro	Hale	Hale County Hosp	3	1	1	-	25	"480,881"	"295,000"	12	61	3
30	0217	Alabama	Greensboro	Hale	Hale County PHC	3	5	1	-	-	"83,182"	"55,455"	12	59	3
30	0315	Alabama	Greenville	Butler	Butler County PHC	3	5	1	-	-	"98,045"	"65,364"	05	63	3
30	0348	Alabama	Grove Hill	Clarke	Clarke County PHC	3	5	4	-	-	"119,811"	"79,874"	05	66	3
30	M397	Alabama	Grove Hill	Clarke	Grove Hill Mem Hosp	2	1	4	-	30	"977,744"	"531,312"	08	68	2
30	M400	Alabama	Guin	Marion	Guin Hosp	3	1	3	4	19	"278,039"	"174,400"	03	67	3
30	0241	Alabama	Guntersville	Marshall	Guntersville Hosp	3	1	1	8	-	"897,216"	"98,000"	05	62	3
31	0061	Alabama	Guntersville	Marshall	Marshall CO PHC	3	5	1	-	-	"105,850"	"70,567"	10	55	3
31	0371	Alabama	Haleyville	Winston	Winston Memorial Hosp	3	1	4	-	68	"1,503,747"	"890,000"	08	66	3
31	0024	Alabama	Hamilton	Marion	Lister Hill Hosp	3	1	1	-	37	"453,812"	"286,363"	01	50	3
31	0338	Alabama	Hamilton	Marion	Lister Hill Hosp	3	1	5	4	18	"860,968"	"347,600"	02	67	3
31	N152	Alabama	Hamilton	Marion	Marion CO NRSNG Home	3	LTU	2	4	20	"196,963"	"131,308"	10	57	3
31	N257	Alabama	Hamilton	Marion	Marion CO NRSNG Home	3	LTU	2	-	20	"126,550"	"84,033"	01	63	3
31	N363	Alabama	Hamilton	Marion	Marion CO NRSNG Home	3	LTU	2	4	24	"297,747"	"198,498"	08	65	3
31	0258	Alabama	Hamilton	Marion	Marion County PHC	3	5	1	-	-	"86,753"	"55,000"	06	61	3
31	0233	Alabama	Hayneville	Lowndes	Lowndes County PHC	3	5	1	-	-	"69,828"	"46,552"	02	60	3
31	0370	Alabama	Headland	Henry	Headland Auxilary PHC	3	5	4	-	-	"109,411"	"56,000"	02	67	3
31	0194	Alabama	Heflin	Cleburne	Cleburne County Hosp	3	1	1	-	20	"475,929"	"222,683"	12	58	3
31	N304	Alabama	Heflin	Cleburne	Cleburne County Hosp	3	LTU	2	-	40	"359,965"	"231,927"	06	64	3
31	0306	Alabama	Heflin	Cleburne	Cleburne County PHC	3	5	1	-	-	"110,229"	"73,486"	03	65	3
31	D329	Alabama	Huntsville	Madison	Huntsville Hosp	2	9	5	-	-	"702,482"	"298,800"	06	68	2
31	0232	Alabama	Huntsville	Madison	Huntsville Hosp	2	1	5	-	166	"3,315,268"	"720,000"	07	61	3
31	0329	Alabama	Huntsville	Madison	Huntsville Hosp	2	1	5	4	256	"5,421,567"	"701,200"	04	66	2
31	0106	Alabama	Huntsville	Madison	Huntsville Hosp	1	1	5	-	129	"1,234,982"	"746,202"	10	54	3
31	0248	Alabama	Huntsville	Madison	Madison CO PHC	6	5	2	-	-	"93,347"	"60,455"	02	61	3
31	0051	Alabama	Huntsville	Madison	Madison CO PHC	6	5	1	-	-	"170,267"	"110,999"	02	50	3
31	R157	Alabama	Huntsville	Madison	Rehab CTR for Crippled	1	6	1	-	-	"78,561"	"16,338"	05	56	3
31	M042	Alabama	Jackson	Clarke	Jackson Hosp	2	1	8	4	35	"706,227"	"413,835"	08	68	3
31	D158	Alabama	Jasper	Walker	Gladney Mem Clinic	3	9	2	-	-	"55,661"	"37,107"	03	56	3
31	0134	Alabama	Jasper	Walker	Peoples Hosp	3	1	2	4	42	"883,286"	"326,000"	02	62	3
31	0135	Alabama	Jasper	Walker	Walker County PHC	3	5	1	-	-	"106,716"	"71,144"	10	55	3
31	0223	Alabama	Lafayette	Chambers	Chambers County Hosp	3	1	1	-	35	"548,011"	"360,526"	12	59	3
31	0001	Alabama	Langdale	Chambers	Geo H Lanier Mem Hosp	1	1	1	-	87	"2,160,398"	"719,009"	11	47	3
31	N299	Alabama	Langdale	Chambers	Geo H Lanier Mem Hosp	1	LTU	2	4	37	"377,714"	"220,000"	01	63	3
31	M383	Alabama	Langdale	Chambers	Geo H Lanier Mem Hosp	1	1	3	4	118	"681,429"	"434,246"	06	66	3
31	N282	Alabama	Linden	Marengo	Linden Nursing Home	2	0	1	-	25	"261,712"	"166,641"	05	62	3
31	0045	Alabama	Linden	Marengo	Marengo County PHC	3	5	1	-	-	"90,195"	"59,652"	12	53	3
31	0037	Alabama	Livingston	Sumter	Sumter County PHC	3	5	1	-	-	"109,601"	"68,554"	06	49	3
31	M473	Alabama	Livingston	Sumter	Sumter Memorial Hosp	2	1	4	8	-	"244,281"	"139,914"	06	70	3
31	0285	Alabama	Luverne	Crenshaw	Crenshaw County Hosp	3	1	1	-	29	"504,486"	"303,000"	12	61	3
31	0405	Alabama	Luverne	Crenshaw	Crenshaw County Hosp	3	1	5	4	19	"369,691"	"206,050"	02	67	3
31	0269	Alabama	Luverne	Crenshaw	Crenshaw County PHC	3	5	1	-	-	"127,203"	"82,712"	03	65	3
31	N273	Alabama	Marion	Perry	Perry County Hosp	3	LTU	2	-	26	"200,157"	"132,814"	03	62	3
31	0025	Alabama	Marion	Perry	Perry County Hosp	3	1	1	-	20	"225,386"	"73,438"	02	49	3
32	0114	Alabama	Marion	Perry	Perry Couty Hosp	3	1	2	4	21	"163,819"	"109,212"	10	56	3
32	0005	Alabama	Mobile	Mobile	Martin DE Porres Hosp	1	1	1	-	35	"611,425"	"195,475"	04	48	3
32	0094	Alabama	Mobile	Mobile	Mobile County PHC	6	5	1	-	-	"664,794"	"443,197"	04	55	3
32	0457	Alabama	Mobile	Mobile	Mobile County PHC	3	5	2	-	-	"233,300"	"139,980"	01	70	2
32	R479	Alabama	Mobile	Mobile	Mobile Development CTR	4	6	1	-	-	"402,417"	"241,450"	03	70	2
32	0316	Alabama	Mobile	Mobile	Mobile General Hosp	3	1	4	6	-	"1,775,269"	"956,188"	06	65	3
32	0263	Alabama	Mobile	Mobile	Mobile General Hosp	3	1	2	-	6	"476,000"	"285,600"	07	70	2
32	0214	Alabama	Mobile	Mobile	Mobile General Hosp	2	1	1	-	240	"4,366,486"	"2,560,000"	02	60	3
32	0202	Alabama	Mobile	Mobile	Mobile General Hosp	2	1	2	-	20	"138,001"	"45,000"	04	49	3
32	D214	Alabama	Mobile	Mobile	Mobile General Hosp	2	9	1	-	-	"636,475"	"211,231"	05	61	3
